ID_ViThuoc,TenViThuoc,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15
38,Con Rết,-0.85200304,0.17712902,0.45898122,0.420892,2.0604084,1.0392202,1.8546973,1.7512559,0.9989721,-1.1416962,-2.0152943,-1.9590652,-1.9304575,-0.47949022,0.2667266,0.011401141
39,Sài Đất,0.0107854605,0.012033545,0.00912641,-0.00024244934,-0.033273157,-0.016617108,-0.023412267,-0.01623375,0.0025982475,0.03362623,0.028011858,0.023054913,0.0331743,-0.016805118,-0.012795797,0.0074043944
40,Bạch Hạc,0.0107854605,0.012033545,0.00912641,-0.00024244934,-0.033273157,-0.016617108,-0.023412267,-0.01623375,0.0025982475,0.03362623,0.028011858,0.023054913,0.0331743,-0.016805118,-0.012795797,0.0074043944
41,Bạch Hoa Xà,-0.0008794628,-0.00093689375,-0.048563566,-0.042754162,-0.013637852,0.012520179,-0.026326528,-0.014385957,-0.016738107,0.016896917,0.017315112,0.0064146295,0.034647435,-0.031990904,0.0059084967,0.02968875
42,Bảy Lá Một Hoa,-0.020188896,-0.003157694,0.0038685724,0.022012876,-0.0034994148,-0.023842745,-0.032750137,0.016297024,0.0052405633,-0.017055677,0.018132407,0.008411974,0.015030777,0.044991788,0.021938397,0.00915006
43,Bèo Cái,0.0107854605,0.012033545,0.00912641,-0.00024244934,-0.033273157,-0.016617108,-0.023412267,-0.01623375,0.0025982475,0.03362623,0.028011858,0.023054913,0.0331743,-0.016805118,-0.012795797,0.0074043944
44,Bồ Cu Vẽ,0.0107854605,0.012033545,0.00912641,-0.00024244934,-0.033273157,-0.016617108,-0.023412267,-0.01623375,0.0025982475,0.03362623,0.028011858,0.023054913,0.0331743,-0.016805118,-0.012795797,0.0074043944
45,Bùng Bục,0.0107854605,0.012033545,0.00912641,-0.00024244934,-0.033273157,-0.016617108,-0.023412267,-0.01623375,0.0025982475,0.03362623,0.028011858,0.023054913,0.0331743,-0.016805118,-0.012795797,0.0074043944
46,Cà dại hoa vàng,0.0107854605,0.012033545,0.00912641,-0.00024244934,-0.033273157,-0.016617108,-0.023412267,-0.01623375,0.0025982475,0.03362623,0.028011858,0.023054913,0.0331743,-0.016805118,-0.012795797,0.0074043944
47,Cào bản,-0.42678007,0.06599019,0.2358233,0.2648288,1.0726852,0.53519046,1.006272,0.97005546,0.505162,-0.5757818,-1.0508099,-1.0048835,-1.0321562,-0.23059529,0.14558569,-0.07152532
